name	status	reason
unc_cha_egress_ordering.iv_snoopgo_up	excluded	uncore event
unc_cha_hitme_hit.ex_rds	excluded	uncore event
unc_cha_hitme_hit.shared_ownreq	excluded	uncore event
unc_cha_hitme_hit.wbmtoe	excluded	uncore event
unc_cha_hitme_hit.wbmtoi_or_s	excluded	uncore event
unc_cha_hitme_lookup.read	excluded	uncore event
unc_cha_hitme_lookup.write	excluded	uncore event
unc_cha_hitme_miss.notshared_rdinvown	excluded	uncore event
unc_cha_hitme_miss.read_or_inv	excluded	uncore event
unc_cha_hitme_miss.shared_rdinvown	excluded	uncore event
unc_cha_hitme_update.deallocate	excluded	uncore event
unc_cha_hitme_update.deallocate_rspfwdi_loc	excluded	uncore event
unc_cha_hitme_update.rdinvown	excluded	uncore event
unc_cha_hitme_update.rspfwdi_rem	excluded	uncore event
unc_cha_hitme_update.shared	excluded	uncore event
unc_cha_imc_reads_count.normal	excluded	uncore event
unc_cha_imc_reads_count.priority	excluded	uncore event
unc_cha_imc_writes_count.full	excluded	uncore event
unc_cha_imc_writes_count.full_priority	excluded	uncore event
unc_cha_imc_writes_count.partial	excluded	uncore event
unc_cha_imc_writes_count.partial_priority	excluded	uncore event
unc_cha_llc_lookup.all	excluded	uncore event
unc_cha_llc_lookup.all_remote	excluded	uncore event
unc_cha_llc_lookup.any_f	excluded	uncore event
unc_cha_llc_lookup.code	excluded	uncore event
unc_cha_llc_lookup.code_read_f	excluded	uncore event
unc_cha_llc_lookup.corepref_or_dmnd_local_f	excluded	uncore event
unc_cha_llc_lookup.data_rd	excluded	uncore event
unc_cha_llc_lookup.data_read_all	excluded	uncore event
unc_cha_llc_lookup.data_read_f	excluded	uncore event
unc_cha_llc_lookup.data_read_local	excluded	uncore event
unc_cha_llc_lookup.data_read_miss	excluded	uncore event
unc_cha_llc_lookup.e	excluded	uncore event
unc_cha_llc_lookup.f	excluded	uncore event
unc_cha_llc_lookup.flush_inv	excluded	uncore event
unc_cha_llc_lookup.flush_or_inv_f	excluded	uncore event
unc_cha_llc_lookup.i	excluded	uncore event
unc_cha_llc_lookup.llcpref_local_f	excluded	uncore event
unc_cha_llc_lookup.local_code	excluded	uncore event
unc_cha_llc_lookup.local_data_rd	excluded	uncore event
unc_cha_llc_lookup.local_dmnd_code	excluded	uncore event
unc_cha_llc_lookup.local_dmnd_data_rd	excluded	uncore event
unc_cha_llc_lookup.local_dmnd_rfo	excluded	uncore event
unc_cha_llc_lookup.local_f	excluded	uncore event
unc_cha_llc_lookup.local_flush_inv	excluded	uncore event
unc_cha_llc_lookup.local_llc_pf	excluded	uncore event
unc_cha_llc_lookup.local_pf	excluded	uncore event
unc_cha_llc_lookup.local_pf_code	excluded	uncore event
unc_cha_llc_lookup.local_pf_data_rd	excluded	uncore event
unc_cha_llc_lookup.local_pf_rfo	excluded	uncore event
unc_cha_llc_lookup.local_rfo	excluded	uncore event
unc_cha_llc_lookup.locally_homed_address	excluded	uncore event
unc_cha_llc_lookup.m	excluded	uncore event
unc_cha_llc_lookup.miss_all	excluded	uncore event
unc_cha_llc_lookup.other_req_f	excluded	uncore event
unc_cha_llc_lookup.pref_or_dmnd_remote_f	excluded	uncore event
unc_cha_llc_lookup.remote_code	excluded	uncore event
unc_cha_llc_lookup.remote_data_rd	excluded	uncore event
unc_cha_llc_lookup.remote_f	excluded	uncore event
unc_cha_llc_lookup.remote_flush_inv	excluded	uncore event
unc_cha_llc_lookup.remote_other	excluded	uncore event
unc_cha_llc_lookup.remote_rfo	excluded	uncore event
unc_cha_llc_lookup.remote_snoop_f	excluded	uncore event
unc_cha_llc_lookup.remote_snp	excluded	uncore event
unc_cha_llc_lookup.remotely_homed_address	excluded	uncore event
unc_cha_llc_lookup.rfo	excluded	uncore event
unc_cha_llc_lookup.rfo_f	excluded	uncore event
unc_cha_llc_lookup.rfo_local	excluded	uncore event
unc_cha_llc_lookup.s	excluded	uncore event
unc_cha_llc_lookup.sf_e	excluded	uncore event
unc_cha_llc_lookup.sf_h	excluded	uncore event
unc_cha_llc_lookup.sf_s	excluded	uncore event
unc_cha_llc_lookup.write_local	excluded	uncore event
unc_cha_llc_lookup.write_remote	excluded	uncore event
unc_cha_llc_victims.e_state	excluded	uncore event
unc_cha_llc_victims.ia	excluded	uncore event
unc_cha_llc_victims.io	excluded	uncore event
unc_cha_llc_victims.io_e	excluded	uncore event
unc_cha_llc_victims.io_fs	excluded	uncore event
unc_cha_llc_victims.io_m	excluded	uncore event
unc_cha_llc_victims.io_mesf	excluded	uncore event
unc_cha_llc_victims.local_all	excluded	uncore event
unc_cha_llc_victims.local_e	excluded	uncore event
unc_cha_llc_victims.local_m	excluded	uncore event
unc_cha_llc_victims.local_only	excluded	uncore event
unc_cha_llc_victims.local_s	excluded	uncore event
unc_cha_llc_victims.m_state	excluded	uncore event
unc_cha_llc_victims.remote_all	excluded	uncore event
unc_cha_llc_victims.remote_e	excluded	uncore event
unc_cha_llc_victims.remote_m	excluded	uncore event
unc_cha_llc_victims.remote_only	excluded	uncore event
unc_cha_llc_victims.remote_s	excluded	uncore event
unc_cha_llc_victims.s_state	excluded	uncore event
unc_cha_llc_victims.total_e	excluded	uncore event
unc_cha_llc_victims.total_m	excluded	uncore event
unc_cha_llc_victims.total_s	excluded	uncore event
